Specs,Score,CORR_Specs,CORR_Score,IMP,Best_Score
ABSNJZH_max,19479.45055725223,ABSNJZH_CORRECTED_max,16204.855768370857,-16.81050899899348,19479.45055725223
ABSNJZH_last_value,19373.733324509158,ABSNJZH_CORRECTED_last_value,16223.652152107696,-16.259546467568974,19373.733324509158
SAVNCPP_last_value,18832.197366758377,SAVNCPP_CORRECTED_last_value,18389.91181586216,-2.3485605119927015,18832.197366758377
TOTUSJH_last_value,18664.530108340692,TOTUSJH_CORRECTED_last_value,18426.99387615055,-1.272661196458369,18664.530108340692
SAVNCPP_max,18389.117410461018,SAVNCPP_CORRECTED_max,17873.390425243342,-2.8045227713011083,18389.117410461018
ABSNJZH_mean,17648.859556363775,ABSNJZH_CORRECTED_mean,14596.206163778192,-17.296604252736923,17648.859556363775
TOTUSJH_mean,17591.784679236203,TOTUSJH_CORRECTED_mean,17278.655701338575,-1.7799727748328904,17591.784679236203
TOTUSJH_median,17591.610728306012,TOTUSJH_CORRECTED_median,17278.571883494165,-1.7794780116873963,17591.610728306012
ABSNJZH_median,17472.205214566708,ABSNJZH_CORRECTED_median,14446.662337115067,-17.316319493141155,17472.205214566708
TOTUSJH_max,17433.254894298196,TOTUSJH_CORRECTED_max,17260.94813076499,-0.9883797637213461,17433.254894298196
TOTUSJH_min,17401.03820714268,TOTUSJH_CORRECTED_min,16938.31063902714,-2.6591951733408807,17401.03820714268
SAVNCPP_mean,17098.81651900475,SAVNCPP_CORRECTED_mean,16608.127851220273,-2.8697229848574257,17098.81651900475
SAVNCPP_median,16951.529125109962,SAVNCPP_CORRECTED_median,16469.927645102445,-2.8410503645605076,16951.529125109962
TOTUSJZ_last_value,16303.656863686412,TOTUSJZ_CORRECTED_last_value,16067.13019209969,-1.4507584007950043,16303.656863686412
ABSNJZH_stddev,15876.324695948128,ABSNJZH_CORRECTED_stddev,14148.64695855286,-10.882101307969576,15876.324695948128
ABSNJZH_gderivative_stddev,15623.249796717673,ABSNJZH_CORRECTED_gderivative_stddev,15671.307342005677,0.3076027453526373,15671.307342005677
TOTUSJZ_median,15631.27021249868,TOTUSJZ_CORRECTED_median,15332.406321329438,-1.9119616455115291,15631.27021249868
TOTUSJZ_mean,15578.884768362748,TOTUSJZ_CORRECTED_mean,15289.803012861003,-1.8555998057627747,15578.884768362748
SAVNCPP_var,15576.73568758206,SAVNCPP_CORRECTED_var,15308.89401129829,-1.7194981134416865,15576.73568758206
TOTUSJZ_min,15572.933372634838,TOTUSJZ_CORRECTED_min,15183.450304223967,-2.5010257161652074,15572.933372634838
SAVNCPP_stddev,15324.92597831743,SAVNCPP_CORRECTED_stddev,15090.48846873092,-1.5297790665886695,15324.92597831743
TOTBSQ_last_value,15210.954577599421,TOTBSQ_CORRECTED_last_value,15044.793374347984,-1.0923785381368232,15210.954577599421
ABSNJZH_min,14991.551208639254,ABSNJZH_CORRECTED_min,12273.08964574794,-18.133290711936024,14991.551208639254
SAVNCPP_gderivative_stddev,14746.194444877981,SAVNCPP_CORRECTED_gderivative_stddev,14563.526589332896,-1.2387457403190159,14746.194444877981
TOTBSQ_max,14577.662283448832,TOTBSQ_CORRECTED_max,14389.590232890956,-1.2901386168851547,14577.662283448832
TOTBSQ_mean,14399.753026980603,TOTBSQ_CORRECTED_mean,14141.823603858124,-1.791207270285823,14399.753026980603
TOTBSQ_median,14390.097108175234,TOTBSQ_CORRECTED_median,14130.067692239418,-1.8070025099975848,14390.097108175234
SAVNCPP_min,14272.392147057906,SAVNCPP_CORRECTED_min,13853.923999274717,-2.93201128074001,14272.392147057906
TOTBSQ_min,14163.602765639325,TOTBSQ_CORRECTED_min,13841.213948976994,-2.2761780459166867,14163.602765639325
TOTPOT_min,13993.636624493334,TOTPOT_CORRECTED_min,13214.652150300388,-5.566705032410766,13993.636624493334
TOTUSJZ_max,13436.805737498493,TOTUSJZ_CORRECTED_max,13376.314161989416,-0.45019312395252764,13436.805737498493
USFLUX_last_value,12712.657952590127,USFLUX_CORRECTED_last_value,13176.341909888497,3.647419438386582,13176.341909888497
USFLUX_median,12230.35324482075,USFLUX_CORRECTED_median,12537.439280548188,2.5108517275041184,12537.439280548188
USFLUX_mean,12214.540369408904,USFLUX_CORRECTED_mean,12532.67154329667,2.604528408490265,12532.67154329667
USFLUX_max,12012.047984063682,USFLUX_CORRECTED_max,12470.26989202555,3.8146859600443532,12470.26989202555
USFLUX_min,12266.766845438004,USFLUX_CORRECTED_min,12434.687530384412,1.3689074477588004,12434.687530384412
TOTUSJH_stddev,10637.493138855873,TOTUSJH_CORRECTED_stddev,12240.977222394247,15.073890648928204,12240.977222394247
TOTPOT_median,11827.389767779374,TOTPOT_CORRECTED_median,11830.25931932446,0.024261917476523488,11830.25931932446
TOTFZ_gderivative_stddev,11436.325496551326,TOTFZ_CORRECTED_gderivative_stddev,10152.549701614138,-11.22542197075727,11436.325496551326
TOTUSJH_var,8444.072888743973,TOTUSJH_CORRECTED_var,10546.060830649742,24.893057764905585,10546.060830649742
TOTBSQ_stddev,9204.836232598622,TOTBSQ_CORRECTED_stddev,10481.980243725962,13.874706500528248,10481.980243725962
ABSNJZH_var,10277.006217391265,ABSNJZH_CORRECTED_var,8401.45157363204,-18.25000981886453,10277.006217391265
TOTFZ_min,8691.145492631787,TOTFZ_CORRECTED_min,9434.536269281225,8.553426901893108,9434.536269281225
TOTFZ_last_value,8360.962719759478,TOTFZ_CORRECTED_last_value,9171.22865870203,9.69106030131732,9171.22865870203
TOTPOT_mean,8803.226501251833,TOTPOT_CORRECTED_mean,9127.149086774212,3.6795893582462877,9127.149086774212
TOTFZ_stddev,9121.67185106164,TOTFZ_CORRECTED_stddev,8776.314870958988,-3.786114933113458,9121.67185106164
TOTFZ_mean,8231.472883598117,TOTFZ_CORRECTED_mean,8977.500402600179,9.063110934722058,8977.500402600179
TOTFZ_median,8202.95968554224,TOTFZ_CORRECTED_median,8954.153007531218,9.157588855556124,8954.153007531218
TOTFY_stddev,8713.88557975248,TOTFY_CORRECTED_stddev,7661.015861205321,-12.082666325038725,8713.88557975248
USFLUX_var,4482.725265936324,USFLUX_CORRECTED_var,8496.824102353343,89.54594801781988,8496.824102353343
USFLUX_stddev,6522.687405962049,USFLUX_CORRECTED_stddev,8414.469194598305,29.003103642634738,8414.469194598305
TOTFZ_max,7690.53029163505,TOTFZ_CORRECTED_max,8350.599537637096,8.582883376975959,8350.599537637096
TOTFX_stddev,8272.243191359712,TOTFX_CORRECTED_stddev,3009.599068521774,-63.61810214108218,8272.243191359712
TOTFY_gderivative_stddev,7788.167630803502,TOTFY_CORRECTED_gderivative_stddev,6498.826311298647,-16.55513055991881,7788.167630803502
TOTBSQ_gderivative_stddev,7350.05246677335,TOTBSQ_CORRECTED_gderivative_stddev,7436.051644747083,1.1700484909801778,7436.051644747083
TOTFX_gderivative_stddev,7135.642513198669,TOTFX_CORRECTED_gderivative_stddev,4927.150462885443,-30.950149846047054,7135.642513198669
TOTBSQ_var,4552.284325532319,TOTBSQ_CORRECTED_var,7087.55811391012,55.692342724689986,7087.55811391012
