Specs,Score,CORR_Specs,CORR_Score,IMP,Best_Score
MEANJZD_var,28.344007287598192,MEANJZD_CORRECTED_var,48.74284986073511,71.9688023156216,48.74284986073511
SHRGT45_var,32.78472147930784,SHRGT45_CORRECTED_var,47.08151759006741,43.608106049590916,47.08151759006741
MEANSHR_kurtosis,42.08212182564885,MEANSHR_CORRECTED_kurtosis,23.93819725850379,-43.115517421667704,42.08212182564885
MEANJZD_kurtosis,41.96504911711242,MEANJZD_CORRECTED_kurtosis,41.16296100967248,-1.9113241240384222,41.96504911711242
TOTPOT_skewness,28.314546709775875,TOTPOT_CORRECTED_skewness,41.9449877126143,48.13935798637518,41.9449877126143
MEANPOT_skewness,24.818576672196382,MEANPOT_CORRECTED_skewness,41.1431723915595,65.7757128258332,41.1431723915595
TOTUSJZ_skewness,37.962191169511144,TOTUSJZ_CORRECTED_skewness,24.272247287883598,-36.06204873817308,37.962191169511144
R_VALUE_skewness,37.13493306155429,R_VALUE_CORRECTED_skewness,18.77733539822441,-49.434847863871504,37.13493306155429
EPSY_min,34.01214412245101,EPSY_CORRECTED_min,36.48033532266758,7.256793900821273,36.48033532266758
ABSNJZH_gderivative_mean,4.610052518323453,ABSNJZH_CORRECTED_gderivative_mean,36.19198289439489,685.0666071708202,36.19198289439489
MEANGBH_max,7.993525859395989,MEANGBH_CORRECTED_max,34.53288211197405,332.01063860176765,34.53288211197405
MEANJZH_var,34.3808284768809,MEANJZH_CORRECTED_var,31.612598015920863,-8.051668861969137,34.3808284768809
EPSX_last_value,34.31879128454802,EPSX_CORRECTED_last_value,13.491740904125157,-60.68701606574415,34.31879128454802
EPSX_skewness,7.624696300288337,EPSX_CORRECTED_skewness,32.7215599627197,329.1523055348749,32.7215599627197
R_VALUE_kurtosis,21.577675863753317,R_VALUE_CORRECTED_kurtosis,29.507862620802065,36.75181148851188,29.507862620802065
TOTUSJZ_gderivative_stddev,28.497028990753282,TOTUSJZ_CORRECTED_gderivative_stddev,28.104483267518464,-1.3774970133279199,28.497028990753282
MEANGBT_kurtosis,26.374542218600894,MEANGBT_CORRECTED_kurtosis,26.830267815184705,1.7278995510390553,26.830267815184705
TOTPOT_kurtosis,18.025508293443316,TOTPOT_CORRECTED_kurtosis,25.560473696078105,41.80168059602288,25.560473696078105
TOTUSJZ_kurtosis,25.12439601803886,TOTUSJZ_CORRECTED_kurtosis,24.25667529494716,-3.453697842004597,25.12439601803886
MEANGBZ_skewness,8.292808692008785,MEANGBZ_CORRECTED_skewness,24.75746720839199,198.54140048170981,24.75746720839199
TOTBSQ_skewness,24.570698977891002,TOTBSQ_CORRECTED_skewness,8.947763142092883,-63.583603583503326,24.570698977891002
TOTFX_min,8.929805466460481,TOTFX_CORRECTED_min,22.5763875916388,152.8205981242661,22.5763875916388
EPSX_mean,21.646786510168344,EPSX_CORRECTED_mean,8.676391395392459,-59.91833988238015,21.646786510168344
EPSX_median,21.349855824988175,EPSX_CORRECTED_median,8.553846656445584,-59.93487390938706,21.349855824988175
EPSX_kurtosis,21.069220748603023,EPSX_CORRECTED_kurtosis,0.27730666108923296,-98.68383048239873,21.069220748603023
EPSZ_gderivative_mean,20.620917588840214,EPSZ_CORRECTED_gderivative_mean,1.482725751816162,-92.80960342609296,20.620917588840214
USFLUX_kurtosis,20.50410280470416,USFLUX_CORRECTED_kurtosis,10.179802111156285,-50.35236504559087,20.50410280470416
EPSX_min,0.5468281364116041,EPSX_CORRECTED_min,20.421622654079382,3634.5595982112704,20.421622654079382
EPSZ_skewness,20.273287069484706,EPSZ_CORRECTED_skewness,1.409908858238061,-93.04548466459467,20.273287069484706
SAVNCPP_gderivative_mean,2.4467208480604152,SAVNCPP_CORRECTED_gderivative_mean,19.168760213183933,683.4469644699986,19.168760213183933
USFLUX_skewness,18.856248303088336,USFLUX_CORRECTED_skewness,0.7944557253965093,-95.78677734495896,18.856248303088336
TOTUSJH_kurtosis,18.80726156961149,TOTUSJH_CORRECTED_kurtosis,17.49055431846924,-7.001057789666562,18.80726156961149
EPSY_kurtosis,17.223859789607445,EPSY_CORRECTED_kurtosis,18.61111424011631,8.0542600059129,18.61111424011631
MEANGBH_kurtosis,18.046994831381824,MEANGBH_CORRECTED_kurtosis,16.67993496211357,-7.575000059794332,18.046994831381824
MEANGBZ_kurtosis,16.980599784656484,MEANGBZ_CORRECTED_kurtosis,14.946684328289042,-11.977877590668319,16.980599784656484
MEANGAM_gderivative_mean,15.946999405164503,MEANGAM_CORRECTED_gderivative_mean,2.3114673868137503,-85.50531464831451,15.946999405164503
TOTBSQ_kurtosis,13.004993358269786,TOTBSQ_CORRECTED_kurtosis,8.2839511130261,-36.30176590779731,13.004993358269786
SHRGT45_gderivative_mean,12.560663313310293,SHRGT45_CORRECTED_gderivative_mean,0.332150358951454,-97.35563042598649,12.560663313310293
MEANSHR_gderivative_mean,12.400477895853633,MEANSHR_CORRECTED_gderivative_mean,0.40049310829755863,-96.77034133957473,12.400477895853633
MEANGBT_skewness,1.4815146572778986,MEANGBT_CORRECTED_skewness,11.974421453191185,708.2553482928556,11.974421453191185
TOTFX_kurtosis,11.825959191595006,TOTFX_CORRECTED_kurtosis,6.962155960300594,-41.128192246352704,11.825959191595006
EPSZ_kurtosis,11.126859776568086,EPSZ_CORRECTED_kurtosis,0.8547971634706234,-92.31771424610984,11.126859776568086
TOTFY_kurtosis,10.639444876352613,TOTFY_CORRECTED_kurtosis,10.71695796398029,0.7285444732173857,10.71695796398029
TOTUSJH_var,10.013867389182126,TOTUSJH_CORRECTED_var,7.639320453564266,-23.712586190057376,10.013867389182126
TOTUSJH_skewness,9.748199288374114,TOTUSJH_CORRECTED_skewness,3.849517980033572,-60.51047105053976,9.748199288374114
MEANALP_var,9.049538339044929,MEANALP_CORRECTED_var,8.1216751487089,-10.253154974024397,9.049538339044929
EPSY_skewness,8.994199123391102,EPSY_CORRECTED_skewness,3.612687876741546,-59.83313436605963,8.994199123391102
TOTFX_skewness,2.386057070067111,TOTFX_CORRECTED_skewness,8.639711920477305,262.09158736652944,8.639711920477305
MEANPOT_kurtosis,6.7676314085497165,MEANPOT_CORRECTED_kurtosis,5.9775398136214175,-11.674565992618284,6.7676314085497165
MEANJZH_skewness,5.785675563191279,MEANJZH_CORRECTED_skewness,5.006826407125517,-13.461680447843197,5.785675563191279
MEANGBH_gderivative_mean,4.907324523872428,MEANGBH_CORRECTED_gderivative_mean,0.025943235688858084,-99.47133645711317,4.907324523872428
TOTFY_skewness,4.229337156753578,TOTFY_CORRECTED_skewness,3.4512413678599776,-18.39758241196509,4.229337156753578
TOTFZ_kurtosis,3.4424112737734003,TOTFZ_CORRECTED_kurtosis,2.363084636729926,-31.353796836145328,3.4424112737734003
R_VALUE_gderivative_mean,0.3364517798976003,R_VALUE_CORRECTED_gderivative_mean,2.6586192037418614,690.1932349863084,2.6586192037418614
MEANGBT_gderivative_mean,0.3933567990080846,MEANGBT_CORRECTED_gderivative_mean,2.586824356692333,557.6279762331415,2.586824356692333
MEANGBZ_gderivative_mean,0.23285013166003643,MEANGBZ_CORRECTED_gderivative_mean,2.4267174355630523,942.1799714101448,2.4267174355630523
MEANJZH_gderivative_mean,1.7960337472968277,MEANJZH_CORRECTED_gderivative_mean,1.716808283542516,-4.411134471919154,1.7960337472968277
TOTPOT_gderivative_stddev,1.1583338550091444,TOTPOT_CORRECTED_gderivative_stddev,1.276959274990147,10.241038839365196,1.276959274990147
MEANPOT_gderivative_stddev,0.9735182848500531,MEANPOT_CORRECTED_gderivative_stddev,0.9765148108493762,0.30780377173754253,0.9765148108493762
MEANJZD_skewness,0.9654509777765667,MEANJZD_CORRECTED_skewness,0.1884490371332927,-80.48072440018748,0.9654509777765667
MEANPOT_stddev,0.9441109571532449,MEANPOT_CORRECTED_stddev,0.9376078389639301,-0.6888086765694905,0.9441109571532449
MEANPOT_max,0.8590567735552473,MEANPOT_CORRECTED_max,0.8393205586761244,-2.2974284688360758,0.8590567735552473
TOTPOT_var,0.730485111787152,TOTPOT_CORRECTED_var,0.7958786450906046,8.952069282215138,0.7958786450906046
MEANALP_gderivative_mean,0.7871538334344903,MEANALP_CORRECTED_gderivative_mean,0.7169934983387393,-8.913166920578814,0.7871538334344903
TOTFZ_skewness,0.7615816548914195,TOTFZ_CORRECTED_skewness,0.2631264914402971,-65.44999610346291,0.7615816548914195
MEANPOT_var,0.5895237820722371,MEANPOT_CORRECTED_var,0.5592003089302081,-5.143723470398233,0.5895237820722371
EPSY_last_value,0.4822951569713846,EPSY_CORRECTED_last_value,0.1564057160106,-67.57053979294264,0.4822951569713846
EPSY_median,0.46607301142447916,EPSY_CORRECTED_median,0.1808078780811346,-61.20610426925953,0.46607301142447916
EPSY_mean,0.4442925740713574,EPSY_CORRECTED_mean,0.1632027410898033,-63.266831224689454,0.4442925740713574
MEANPOT_mean,0.3981253598339335,MEANPOT_CORRECTED_mean,0.3615949744613417,-9.17559870786161,0.3981253598339335
MEANPOT_median,0.19633578989382605,MEANPOT_CORRECTED_median,0.34406330325773743,75.24227418943794,0.34406330325773743
MEANALP_max,0.05997418289511247,MEANALP_CORRECTED_max,0.340450781404738,467.66222559487784,0.340450781404738
TOTPOT_stddev,0.21059858458178837,TOTPOT_CORRECTED_stddev,0.043065328785480896,-79.55098849738185,0.21059858458178837
MEANPOT_last_value,0.1684711957312236,MEANPOT_CORRECTED_last_value,0.15994005362844207,-5.063857988158391,0.1684711957312236
EPSY_gderivative_mean,0.09253450160487284,EPSY_CORRECTED_gderivative_mean,0.015557568796890414,-83.18727768878894,0.09253450160487284
MEANALP_skewness,0.07345876932363359,MEANALP_CORRECTED_skewness,0.001265606496150255,-98.27711993026398,0.07345876932363359
TOTPOT_gderivative_mean,0.06330660451055344,TOTPOT_CORRECTED_gderivative_mean,0.071919714077665,13.605388622091908,0.071919714077665
TOTUSJZ_var,0.04918521369898634,TOTUSJZ_CORRECTED_var,0.0006936840027347458,-98.58964930602906,0.04918521369898634
MEANPOT_gderivative_mean,0.022567060661315037,MEANPOT_CORRECTED_gderivative_mean,0.02746288585543106,21.694563007527847,0.02746288585543106
MEANJZD_gderivative_mean,0.00811514492978431,MEANJZD_CORRECTED_gderivative_mean,0.02187172137162889,169.51732299142333,0.02187172137162889
