Specs,Score,CORR_Specs,CORR_Score,IMP,Best_Score
ABSNJZH_stddev,20168.76663529816,ABSNJZH_CORRECTED_stddev,17355.569024732064,-13.94828777304909,20168.76663529816
ABSNJZH_max,19379.81056576553,ABSNJZH_CORRECTED_max,17444.5009748068,-9.986215212946695,19379.81056576553
TOTUSJH_last_value,19100.330704812783,TOTUSJH_CORRECTED_last_value,18914.3666704361,-0.9736168302563791,19100.330704812783
TOTUSJH_max,17968.008074389603,TOTUSJH_CORRECTED_max,17624.606202567702,-1.9111849816639572,17968.008074389603
TOTUSJH_mean,17793.90995840941,TOTUSJH_CORRECTED_mean,17410.92804998537,-2.1523201439099298,17793.90995840941
TOTUSJH_median,17788.699444114012,TOTUSJH_CORRECTED_median,17402.94109091661,-2.1685584964169067,17788.699444114012
ABSNJZH_last_value,17679.39487986054,ABSNJZH_CORRECTED_last_value,15930.415995450749,-9.892753096443023,17679.39487986054
ABSNJZH_gderivative_stddev,17423.94624491704,ABSNJZH_CORRECTED_gderivative_stddev,15788.30712826277,-9.387305801241334,17423.94624491704
SAVNCPP_max,17419.2274187264,SAVNCPP_CORRECTED_max,17073.126539944595,-1.9868899490326042,17419.2274187264
TOTUSJH_min,17361.951307312265,TOTUSJH_CORRECTED_min,16961.752175575508,-2.305035445919072,17361.951307312265
SAVNCPP_last_value,16735.847851110506,SAVNCPP_CORRECTED_last_value,16534.10445164278,-1.205456701462185,16735.847851110506
ABSNJZH_mean,16581.372073929524,ABSNJZH_CORRECTED_mean,15091.41993879147,-8.98569870150051,16581.372073929524
ABSNJZH_median,16483.618773607373,ABSNJZH_CORRECTED_median,14991.685175553885,-9.051007661268455,16483.618773607373
SAVNCPP_mean,15791.383116976138,SAVNCPP_CORRECTED_mean,15552.590341872143,-1.5121713743192442,15791.383116976138
TOTBSQ_last_value,15662.206392229578,TOTBSQ_CORRECTED_last_value,14737.908334042284,-5.901454974095236,15662.206392229578
SAVNCPP_median,15595.873398045987,SAVNCPP_CORRECTED_median,15326.162353821514,-1.729374414249003,15595.873398045987
TOTUSJZ_last_value,14899.776069499898,TOTUSJZ_CORRECTED_last_value,15165.37004644723,1.7825367019508913,15165.37004644723
TOTBSQ_max,15022.799492901591,TOTBSQ_CORRECTED_max,14198.875317110029,-5.484491596795086,15022.799492901591
SAVNCPP_gderivative_stddev,14963.238763417006,SAVNCPP_CORRECTED_gderivative_stddev,14447.682068090959,-3.4454886637678377,14963.238763417006
SAVNCPP_stddev,14667.934927876246,SAVNCPP_CORRECTED_stddev,13922.83216799682,-5.079806827226692,14667.934927876246
TOTBSQ_mean,14586.183849661738,TOTBSQ_CORRECTED_mean,13817.122391265004,-5.272533695745027,14586.183849661738
TOTBSQ_median,14569.118748023242,TOTBSQ_CORRECTED_median,13786.188669185207,-5.373901416956081,14569.118748023242
TOTUSJZ_min,14214.757278324865,TOTUSJZ_CORRECTED_min,14125.14228014409,-0.6304363586807329,14214.757278324865
TOTBSQ_min,14118.238281161723,TOTBSQ_CORRECTED_min,13417.111686608901,-4.9661054062839405,14118.238281161723
TOTUSJZ_median,14096.797644595215,TOTUSJZ_CORRECTED_median,14005.861991724722,-0.6450802172460712,14096.797644595215
TOTUSJZ_mean,14082.433918930683,TOTUSJZ_CORRECTED_mean,14016.443957809024,-0.4685976976817199,14082.433918930683
TOTUSJZ_max,13757.734619571678,TOTUSJZ_CORRECTED_max,13825.50834314218,0.4926226987551286,13825.50834314218
TOTPOT_min,13818.607948538165,TOTPOT_CORRECTED_min,13280.404690581672,-3.8947718899097077,13818.607948538165
TOTFY_gderivative_stddev,13792.707077140347,TOTFY_CORRECTED_gderivative_stddev,13645.885333482282,-1.064488231620634,13792.707077140347
TOTPOT_median,13627.60249324927,TOTPOT_CORRECTED_median,13037.171746624837,-4.3326091065315016,13627.60249324927
ABSNJZH_min,12767.650615821993,ABSNJZH_CORRECTED_min,11742.611293841088,-8.028409868223136,12767.650615821993
TOTFZ_gderivative_stddev,12507.968758483543,TOTFZ_CORRECTED_gderivative_stddev,9868.448203177875,-21.10271144957418,12507.968758483543
SAVNCPP_min,12374.388934750603,SAVNCPP_CORRECTED_min,12442.076868679631,0.5470002137959492,12442.076868679631
TOTBSQ_stddev,12241.263880714088,TOTBSQ_CORRECTED_stddev,11234.801534205068,-8.221882612094374,12241.263880714088
SAVNCPP_var,12077.765174537728,SAVNCPP_CORRECTED_var,11111.04702662565,-8.004114452813726,12077.765174537728
USFLUX_last_value,11729.105472897192,USFLUX_CORRECTED_last_value,11307.649224881272,-3.5932514119665155,11729.105472897192
USFLUX_min,11077.333674001895,USFLUX_CORRECTED_min,10667.138451337658,-3.7030140531647113,11077.333674001895
TOTUSJH_stddev,10514.708442826279,TOTUSJH_CORRECTED_stddev,11069.288708491127,5.274328514959576,11069.288708491127
ABSNJZH_var,10947.118327224896,ABSNJZH_CORRECTED_var,8833.368404092747,-19.308733677203126,10947.118327224896
USFLUX_mean,10913.469879817965,USFLUX_CORRECTED_mean,10612.919792818164,-2.7539370182860163,10913.469879817965
USFLUX_median,10897.189569355201,USFLUX_CORRECTED_median,10579.763378712969,-2.9129179466134127,10897.189569355201
USFLUX_max,10745.707291020215,USFLUX_CORRECTED_max,10600.248368758528,-1.3536467942249037,10745.707291020215
TOTFY_stddev,9907.319055363994,TOTFY_CORRECTED_stddev,10011.940502235777,1.056001591218956,10011.940502235777
TOTBSQ_gderivative_stddev,9938.629844087836,TOTBSQ_CORRECTED_gderivative_stddev,9460.603669057116,-4.8097794417314175,9938.629844087836
TOTBSQ_var,9801.503805089647,TOTBSQ_CORRECTED_var,7483.559546118178,-23.648863532224773,9801.503805089647
TOTUSJH_gderivative_stddev,9531.15591649887,TOTUSJH_CORRECTED_gderivative_stddev,9258.274488153196,-2.863046525902527,9531.15591649887
TOTFY_var,8891.231083617571,TOTFY_CORRECTED_var,7575.600169421862,-14.796948834451156,8891.231083617571
TOTFZ_last_value,7851.715549912576,TOTFZ_CORRECTED_last_value,6716.178485103633,-14.462279709325264,7851.715549912576
TOTFZ_min,7679.539315423351,TOTFZ_CORRECTED_min,6776.884187678129,-11.754027040819453,7679.539315423351
TOTFX_gderivative_stddev,7352.220912482807,TOTFX_CORRECTED_gderivative_stddev,2691.9789601867324,-63.38549953502873,7352.220912482807
TOTFZ_stddev,7331.302998935483,TOTFZ_CORRECTED_stddev,6485.463889204237,-11.537363956367145,7331.302998935483
TOTFZ_mean,7229.857206436272,TOTFZ_CORRECTED_mean,6356.7970887344645,-12.07575879817624,7229.857206436272
TOTFZ_median,7213.552202566149,TOTFZ_CORRECTED_median,6357.2389476047565,-11.870895654664675,7213.552202566149
TOTUSJZ_stddev,6107.649340578259,TOTUSJZ_CORRECTED_stddev,6811.692371421392,11.527233991080355,6811.692371421392
TOTFZ_max,6702.116763893521,TOTFZ_CORRECTED_max,5779.31649336127,-13.768788325259806,6702.116763893521
TOTFX_stddev,6574.701754763703,TOTFX_CORRECTED_stddev,1313.3887344151963,-80.02359980110764,6574.701754763703
MEANPOT_min,5833.148995340792,MEANPOT_CORRECTED_min,6567.658064457745,12.591981958692298,6567.658064457745
TOTPOT_mean,5675.66063454377,TOTPOT_CORRECTED_mean,6065.751369488668,6.873045449030003,6065.751369488668
R_VALUE_min,5612.193771083592,R_VALUE_CORRECTED_min,5715.304869711167,1.8372690401184564,5715.304869711167
TOTUSJZ_gderivative_stddev,5627.151678469162,TOTUSJZ_CORRECTED_gderivative_stddev,5691.528713793434,1.1440430079500739,5691.528713793434
USFLUX_stddev,4605.957402765689,USFLUX_CORRECTED_stddev,5620.290379842195,22.02219622064764,5620.290379842195
SHRGT45_min,4122.648314242859,SHRGT45_CORRECTED_min,5300.409069624523,28.568062701656004,5300.409069624523
SHRGT45_last_value,3781.474711090954,SHRGT45_CORRECTED_last_value,4989.809091686586,31.95405160456641,4989.809091686586
SHRGT45_median,3787.065876207634,SHRGT45_CORRECTED_median,4910.757752348549,29.67183336314654,4910.757752348549
SHRGT45_mean,3786.0607700265605,SHRGT45_CORRECTED_mean,4906.069002506451,29.582415616430627,4906.069002506451
MEANGAM_min,3122.3263088454096,MEANGAM_CORRECTED_min,4554.601192133415,45.87204352185852,4554.601192133415
MEANSHR_min,3841.9041205457743,MEANSHR_CORRECTED_min,4538.663435394764,18.135780930160465,4538.663435394764
MEANSHR_last_value,3652.32763141653,MEANSHR_CORRECTED_last_value,4480.277904748577,22.669112875038884,4480.277904748577
MEANSHR_mean,3706.52131133006,MEANSHR_CORRECTED_mean,4451.2416545625965,20.092164071904353,4451.2416545625965
