Specs,Score,CORR_Specs,CORR_Score,IMP,Best_Score
ABSNJZH_max,18327.77435304279,ABSNJZH_CORRECTED_max,17591.46539502178,-4.017448839328209,18327.77435304279
ABSNJZH_last_value,18049.45690311166,ABSNJZH_CORRECTED_last_value,17286.115323024165,-4.229166474011173,18049.45690311166
SAVNCPP_max,16920.76064300622,SAVNCPP_CORRECTED_max,17220.596348152583,1.7719989749414382,17220.596348152583
SAVNCPP_last_value,16592.88396849951,SAVNCPP_CORRECTED_last_value,16775.566489693498,1.100969075302385,16775.566489693498
ABSNJZH_mean,16655.129744156817,ABSNJZH_CORRECTED_mean,15832.259689664406,-4.940640314021577,16655.129744156817
ABSNJZH_median,16602.042422100843,ABSNJZH_CORRECTED_median,15738.701262856734,-5.200210536113433,16602.042422100843
SAVNCPP_mean,15951.424482030858,SAVNCPP_CORRECTED_mean,16112.65430307946,1.010755003292818,16112.65430307946
SAVNCPP_median,15793.469138438475,SAVNCPP_CORRECTED_median,15920.915278887745,0.8069546933111061,15920.915278887745
ABSNJZH_stddev,14669.238848533041,ABSNJZH_CORRECTED_stddev,14692.635998645805,0.1594980513600626,14692.635998645805
SAVNCPP_min,13629.028759470346,SAVNCPP_CORRECTED_min,13718.027937544603,0.6530118884107141,13718.027937544603
ABSNJZH_min,13569.962010641579,ABSNJZH_CORRECTED_min,12789.939122399068,-5.748158230883889,13569.962010641579
TOTUSJH_last_value,13422.86084316577,TOTUSJH_CORRECTED_last_value,13387.29891498545,-0.26493553494914873,13422.86084316577
SAVNCPP_stddev,12654.308867182175,SAVNCPP_CORRECTED_stddev,13003.944346058395,2.7629756989966365,13003.944346058395
TOTUSJH_median,12536.010001974068,TOTUSJH_CORRECTED_median,12670.480607442352,1.0726746823519555,12670.480607442352
TOTUSJH_max,12521.308355028066,TOTUSJH_CORRECTED_max,12663.82206786636,1.1381695011213906,12663.82206786636
TOTUSJH_mean,12533.38603578319,TOTUSJH_CORRECTED_mean,12660.454877696056,1.0138428797300283,12660.454877696056
TOTPOT_median,12489.573244373183,TOTPOT_CORRECTED_median,12371.056457656769,-0.9489258311512676,12489.573244373183
TOTPOT_mean,12428.571130677512,TOTPOT_CORRECTED_mean,12320.366590515305,-0.870611263551651,12428.571130677512
TOTUSJH_min,12283.379638520311,TOTUSJH_CORRECTED_min,12342.413266405294,0.4805976011671496,12342.413266405294
TOTBSQ_last_value,12321.997199283569,TOTBSQ_CORRECTED_last_value,11476.756773460142,-6.859605729114852,12321.997199283569
TOTPOT_min,12014.099158619903,TOTPOT_CORRECTED_min,11903.811489922977,-0.9179853374008252,12014.099158619903
TOTBSQ_max,11922.628971087646,TOTBSQ_CORRECTED_max,11155.030575311377,-6.438163911983623,11922.628971087646
