Specs,Score,CORR_Specs,CORR_Score,IMP,Best_Score
TOTUSJH_last_value,12960.358425102984,TOTUSJH_CORRECTED_last_value,12531.24463313584,-3.3109716405372787,12960.358425102984
TOTUSJH_max,12600.475345264305,TOTUSJH_CORRECTED_max,12273.936848181333,-2.5914776080705337,12600.475345264305
TOTUSJH_mean,12594.229552267256,TOTUSJH_CORRECTED_mean,12264.093735236664,-2.6213260260224485,12594.229552267256
TOTUSJH_median,12584.625532226946,TOTUSJH_CORRECTED_median,12262.994340710748,-2.5557470160121922,12584.625532226946
ABSNJZH_gderivative_stddev,12576.883991469349,ABSNJZH_CORRECTED_gderivative_stddev,11834.903130692934,-5.899560346423534,12576.883991469349
TOTUSJH_min,12477.143545545425,TOTUSJH_CORRECTED_min,12115.217887644736,-2.900709257527962,12477.143545545425
ABSNJZH_stddev,12079.164197563981,ABSNJZH_CORRECTED_stddev,10397.969705011814,-13.918135932709781,12079.164197563981
ABSNJZH_max,11996.474615181662,ABSNJZH_CORRECTED_max,9582.492847747048,-20.12242633664806,11996.474615181662
SAVNCPP_max,11771.087333748403,SAVNCPP_CORRECTED_max,11182.592365412358,-4.999495387726797,11771.087333748403
SAVNCPP_stddev,11452.868817927061,SAVNCPP_CORRECTED_stddev,11206.49650009608,-2.151184316765568,11452.868817927061
SAVNCPP_gderivative_stddev,11224.205888364126,SAVNCPP_CORRECTED_gderivative_stddev,11122.471842951029,-0.9063807847516635,11224.205888364126
TOTUSJZ_last_value,11078.874523435146,TOTUSJZ_CORRECTED_last_value,10873.346531713098,-1.8551342132027515,11078.874523435146
TOTUSJZ_min,10794.488574403045,TOTUSJZ_CORRECTED_min,10629.47567840118,-1.5286772954965138,10794.488574403045
TOTUSJZ_median,10765.407169315255,TOTUSJZ_CORRECTED_median,10659.607471455442,-0.9827746985861802,10765.407169315255
TOTUSJZ_mean,10751.559981258039,TOTUSJZ_CORRECTED_mean,10636.591094560414,-1.069322841504274,10751.559981258039
ABSNJZH_last_value,10582.318080441284,ABSNJZH_CORRECTED_last_value,8637.876220094176,-18.37444164469893,10582.318080441284
ABSNJZH_mean,10533.02815820298,ABSNJZH_CORRECTED_mean,8480.0173104697,-19.49117401850315,10533.02815820298
ABSNJZH_median,10507.241708840023,ABSNJZH_CORRECTED_median,8471.300448885147,-19.37655301335634,10507.241708840023
TOTBSQ_last_value,10408.137172005136,TOTBSQ_CORRECTED_last_value,9859.263822923387,-5.273502260885438,10408.137172005136
TOTBSQ_max,10292.171073562497,TOTBSQ_CORRECTED_max,9714.292041031502,-5.614743754263789,10292.171073562497
TOTBSQ_mean,10207.867555122122,TOTBSQ_CORRECTED_mean,9706.144550785719,-4.915061854271884,10207.867555122122
TOTBSQ_median,10196.53811715707,TOTBSQ_CORRECTED_median,9706.362465274304,-4.807275236464604,10196.53811715707
TOTPOT_min,10187.3831379268,TOTPOT_CORRECTED_min,9503.808644372948,-6.710010650418744,10187.3831379268
SAVNCPP_mean,10164.209252581797,SAVNCPP_CORRECTED_mean,9586.032990795922,-5.688354572580382,10164.209252581797
TOTUSJZ_max,10131.820696377845,TOTUSJZ_CORRECTED_max,10008.141186513194,-1.2207036974989751,10131.820696377845
SAVNCPP_last_value,10131.775619433716,SAVNCPP_CORRECTED_last_value,9612.328551308494,-5.1269105005530635,10131.775619433716
TOTBSQ_min,10095.725784778038,TOTBSQ_CORRECTED_min,9637.508885529887,-4.538721722602981,10095.725784778038
SAVNCPP_median,10009.624607337622,SAVNCPP_CORRECTED_median,9439.747603785005,-5.693290467005781,10009.624607337622
TOTFY_gderivative_stddev,9997.32758194811,TOTFY_CORRECTED_gderivative_stddev,9512.054908683434,-4.85402393076444,9997.32758194811
TOTFZ_gderivative_stddev,9176.563939571928,TOTFZ_CORRECTED_gderivative_stddev,5490.076679476236,-40.17284992913874,9176.563939571928
TOTUSJH_stddev,8312.900633341222,TOTUSJH_CORRECTED_stddev,8947.652771269131,7.635747928732096,8947.652771269131
SAVNCPP_var,8945.03660891969,SAVNCPP_CORRECTED_var,5743.525199378488,-35.79092573359356,8945.03660891969
USFLUX_last_value,8582.219235316064,USFLUX_CORRECTED_last_value,8612.47264440311,0.35251265736199483,8612.47264440311
USFLUX_min,8457.459346674525,USFLUX_CORRECTED_min,8442.09800205808,-0.18163072368163977,8457.459346674525
USFLUX_mean,8408.9179311652,USFLUX_CORRECTED_mean,8441.632188294552,0.38904241184357097,8441.632188294552
